Mouse: 1320, 398 | UIA: None | EW: PySide6.QtCore.QRect(828, 344, 874, 767)
Mouse: 1314, 398 | UIA: None | EW: PySide6.QtCore.QRect(828, 344, 874, 767)
Mouse: 1306, 399 | UIA: None | EW: PySide6.QtCore.QRect(828, 344, 874, 767)
Mouse: 1294, 400 | UIA: None | EW: PySide6.QtCore.QRect(828, 344, 874, 767)
Mouse: 1282, 404 | UIA: None | EW: PySide6.QtCore.QRect(828, 344, 874, 767)
Mouse: 1268, 406 | UIA: None | EW: PySide6.QtCore.QRect(828, 344, 874, 767)
Mouse: 1264, 408 | UIA: None | EW: PySide6.QtCore.QRect(828, 344, 874, 767)
Mouse: 1252, 410 | UIA: None | EW: PySide6.QtCore.QRect(828, 344, 874, 767)
Mouse: 1242, 412 | UIA: None | EW: PySide6.QtCore.QRect(828, 344, 874, 767)
Mouse: 1234, 414 | UIA: None | EW: PySide6.QtCore.QRect(828, 344, 874, 767)
Mouse: 1233, 416 | UIA: None | EW: PySide6.QtCore.QRect(828, 344, 874, 767)
Mouse: 1228, 416 | UIA: None | EW: PySide6.QtCore.QRect(828, 344, 874, 767)
Mouse: 1226, 416 | UIA: None | EW: PySide6.QtCore.QRect(828, 344, 874, 767)
Mouse: 1221, 416 | UIA: None | EW: PySide6.QtCore.QRect(828, 344, 874, 767)
Mouse: 1216, 417 | UIA: None | EW: PySide6.QtCore.QRect(828, 344, 874, 767)
Mouse: 1215, 417 | UIA: None | EW: PySide6.QtCore.QRect(828, 344, 874, 767)
Mouse: 1209, 420 | UIA: None | EW: PySide6.QtCore.QRect(828, 344, 874, 767)
Mouse: 1206, 420 | UIA: None | EW: PySide6.QtCore.QRect(828, 344, 874, 767)
Mouse: 1202, 422 | UIA: None | EW: PySide6.QtCore.QRect(828, 344, 874, 767)
Mouse: 1194, 424 | UIA: None | EW: PySide6.QtCore.QRect(828, 344, 874, 767)
Mouse: 1191, 424 | UIA: None | EW: PySide6.QtCore.QRect(828, 344, 874, 767)
Mouse: 1184, 428 | UIA: None | EW: PySide6.QtCore.QRect(828, 344, 874, 767)
Mouse: 1180, 428 | UIA: None | EW: PySide6.QtCore.QRect(828, 344, 874, 767)
Mouse: 1178, 430 | UIA: None | EW: PySide6.QtCore.QRect(828, 344, 874, 767)
Mouse: 1172, 430 | UIA: None | EW: PySide6.QtCore.QRect(828, 344, 874, 767)
Mouse: 1168, 434 | UIA: None | EW: PySide6.QtCore.QRect(828, 344, 874, 767)
Mouse: 1166, 434 | UIA: None | EW: PySide6.QtCore.QRect(828, 344, 874, 767)
Mouse: 1162, 434 | UIA: PySide6.QtCore.QRect(672, 441, 480, 600) | EW: PySide6.QtCore.QRect(828, 344, 874, 767)
Mouse: 836, 388 | UIA: None | EW: PySide6.QtCore.QRect(828, 344, 874, 767)
Mouse: 830, 382 | UIA: None | EW: PySide6.QtCore.QRect(828, 344, 874, 767)
Mouse: 820, 368 | UIA: None | EW: PySide6.QtCore.QRect(0, 0, 2560, 1600)
Mouse: 814, 356 | UIA: None | EW: PySide6.QtCore.QRect(0, 0, 2560, 1600)
